,role,company_name,work_experience,location,skills,post_date,link
1555,Data Analyst,Zupee,2-5 Yrs,"Gurugram, Haryana","['Data Visualization', 'Data Analysis', 'Data Analytics', 'Analysis', 'Data', 'Analytics']",8 Days Ago,https://www.naukri.com/job-listings-data-analyst-zupee-gurugram-haryana-2-to-5-years-180124006120
1556,Data Scientist,Axtria,4-8 Yrs,"Hybrid - Noida, Pune, Bangalore/Bengaluru","['Data Science', 'Java', 'deep learning', 'predictive modelling', 'Scala', 'PySpark', 'Machine learning', 'Python']",8 Days Ago,https://www.naukri.com/job-listings-data-scientist-axtria-india-private-limited-noida-pune-bangalore-bengaluru-4-to-8-years-180124906118
1557,Strategy Consultant,Cardekho.com,5-10 Yrs,"Gurgaon/Gurugram, Delhi / NCR","['Sales strategy', 'Data analysis', 'sales enablement', 'sales enhancement', 'business modeling', 'consulting', 'product enablement', 'product promotions']",8 Days Ago,https://www.naukri.com/job-listings-strategy-consultant-cardekho-com-gurgaon-gurugram-delhi-ncr-5-to-10-years-040423004004
1558,Senior Data Analytics Manager,Zupee,6-10 Yrs,"Gurugram, Haryana","['Data Visualization', 'Power Bi', 'Tableau', 'Management', 'Bi', 'Data analytics', 'Analytics', 'Data']",8 Days Ago,https://www.naukri.com/job-listings-senior-data-analytics-manager-zupee-gurugram-haryana-6-to-10-years-180124006021
1559,Finance Analyst ( Data Analyst ),GroMo,2-6 Yrs,"Gurgaon/ Gurugram, Haryana","['Advanced Excel', 'payout calculation', 'Pivot Table', 'SUMIF', 'Filters', 'Receivable', 'Finance', 'VLOOKUP']",8 Days Ago,https://www.naukri.com/job-listings-finance-analyst-data-analyst-gromo-gurgaon-gurugram-haryana-2-to-6-years-051023006515
1560,Immediate/Feb/Jan Joiner: SAP WM & EWM (Design & Implement), Industry Packaging and Containers MNC Manufacturing Company,8-13 Yrs,"Hybrid - Pune, Maharashtra","['WM', 'Ewm', 'Sap Warehouse Management', 'Sap Ewm', 'SAP WMS', 'SAP WM', 'Management', 'Warehouse management']",8 Days Ago,https://www.naukri.com/job-listings-immediate-feb-jan-joiner-sap-wm-ewm-design-implement-persolkelly-india-pune-maharashtra-8-to-13-years-180124005956
1561,"AGM-Process

Excellence",MNC Group,12-20 Yrs,"Chennai, Tamil Nadu","['BUSINESS EXCELLENCE', 'SAP', 'Process Improvement', 'Process Excellence', 'Lean Six Sigma', 'Operational Excellence', 'Six Sigma', 'Lean']",8 Days Ago,https://www.naukri.com/job-listings-agm-process-excellence-symbiosis-management-consultants-chennai-tamil-nadu-12-to-20-years-180124005949
1562,Data Analyst,ZG Staffing Solutions,5-10 Yrs,Remote,"['Quicksight', 'AWS', 'Data analysis', 'Data']",8 Days Ago,https://www.naukri.com/job-listings-data-analyst-zg-staffing-solutions-bangalore-rural-karnataka-5-to-10-years-170124004227
1563,MIS Executive Accounts,Supreme Facility Management,2-5 Yrs,Pune,"['TDS', 'Excel', 'Gst', 'Advanced Ms Excel', 'Income Tax', 'Accounting', 'VLOOKUP', 'SQL']",8 Days Ago,https://www.naukri.com/job-listings-mis-executive-accounts-supreme-facility-management-pune-2-to-5-years-180124005941
1564,Training and Quality Manager,Heads Up For Tails,4-7 Yrs,"Gurugram, Haryana","['Training', 'Quality Monitoring', 'Call Quality', 'Call Monitoring', 'Process Training', 'Call Audit', 'Feedback', 'Call Calibration']",8 Days Ago,https://www.naukri.com/job-listings-training-and-quality-manager-heads-up-for-tails-gurugram-haryana-4-to-7-years-180124005898
1565,"Research Data Analyst - CITI Bank - NKP, Mumbai",Novel Financial Solutions,2-7 Yrs,Hybrid - Mumbai (All Areas),"['Client Coordination', 'Macro', 'Client Feedback', 'Data Analysis', 'MIS Reporting', 'Client Management', 'Data Research', 'Research Analysis']",8 Days Ago,https://www.naukri.com/job-listings-research-data-analyst-citi-bank-nkp-mumbai-novel-financial-solutions-mumbai-all-areas-2-to-7-years-180124005887
1566,Business Analytics- US MNC | WFH | sat-sun off | fix shift | Gurugram,Impetus Hr Consultants,2-7 Yrs,Remote,"['Business Analytics', 'Power Bi', 'Advanced Excel', 'Capacity Planning', 'Data Visualization', 'Tableau', 'Forecasting', 'Business Analysis']",8 Days Ago,https://www.naukri.com/job-listings-business-analytics-us-mnc-wfh-sat-sun-off-fix-shift-gurugram-impetus-hr-consultants-gurugram-haryana-2-to-7-years-180124005822
1567,Deputy Manager,Cardekho.com,2-4 Yrs,"Gurugram, Haryana","['Excel', 'Used Car Loan', 'Stakeholder Management', 'Auto Loans', 'Management', 'Auto', 'Usage', 'Car Loan']",8 Days Ago,https://www.naukri.com/job-listings-deputy-manager-cardekho-com-gurugram-haryana-2-to-4-years-281223004767
1568,Business Analysis Executive,Hiringlink Talent Solutions Llp,1-6 Yrs,Ahmedabad,"['Figma', 'Canva', 'Data Analysis', 'Process Improvement', 'Tableau', 'Data', 'Process', 'Business analysis']",8 Days Ago,https://www.naukri.com/job-listings-business-analysis-executive-hiringlink-talent-solutions-llp-ahmedabad-1-to-6-years-180124005641
1569,Data Analyst / Report Developer,Congruent ,8-12 Yrs,Remote,"['Data Analysis', 'Azure', 'BigQuery', 'Power BI', 'documentation', 'data configurations', 'Tableau', 'data engineering']",8 Days Ago,https://www.naukri.com/job-listings-data-analyst-report-developer-congruent-chennai-tamil-nadu-8-to-12-years-180124905617
1570,Retail Executive,Wonderla Holidays,2-4 Yrs,Bengaluru,"['Retail Sales', 'Retail', 'Store Operations', 'Inventory', 'Sales', 'Store Operation', 'Operations', 'Stores']",8 Days Ago,https://www.naukri.com/job-listings-retail-executive-wonderla-holidays-limited-bengaluru-2-to-4-years-180124005523
1571,Hiring For Program Manager,One of the reputed CA Firm,5-8 Yrs,"Kolkata, West Bengal","['tally', 'finance', 'Accounting', 'Financial Management', 'Leadership Skills', 'Management', 'Hiring', 'Program']",8 Days Ago,https://www.naukri.com/job-listings-hiring-for-program-manager-anthroplace-consulting-kolkata-west-bengal-5-to-8-years-180124005462
1572,Sales Excellence Manager,Vedantu Innovations,8-13 Yrs,"Bangalore Rural, Karnataka","['Sales Analytics', 'Product Strategy', 'Marketing Strategy', 'Performance Metrics', 'Training And Development', 'Sales Enablement', 'Sales', 'Management']",8 Days Ago,https://www.naukri.com/job-listings-sales-excellence-manager-vedantu-innovations-bangalore-rural-karnataka-8-to-13-years-180124005456
1573,Forecasting Analyst,A US Based Company,2-7 Yrs,Bangalore/Bengaluru,"['Time Series', 'Forecasting', 'R Program', 'Python', 'Time', 'Program', 'R']",8 Days Ago,https://www.naukri.com/job-listings-forecasting-analyst-em-sol-bangalore-bengaluru-2-to-7-years-130221002575
1574,Senior Digital Data Analyst,Protiviti India,3-6 Yrs,"Mumbai Suburban, Maharashtra, Navi Mumbai, Maharashtra, Mumbai (All Areas)","['Power Bi', 'Snowflake', 'Tableau', 'Data', 'Bi', 'Data analysis', 'Digital', 'Senior']",8 Days Ago,https://www.naukri.com/job-listings-senior-digital-data-analyst-protiviti-india-mumbai-suburban-maharashtra-navi-mumbai-maharashtra-mumbai-all-areas-3-to-6-years-180124005380
1575,Hiring Lead Generation Executive,KG Invicta Services,3-7 Yrs,"Coimbatore, Tamil Nadu","['Lead Generation', 'Cold Calling', 'Client Communication', 'Online Lead Generation', 'Client Interaction', 'Lead Qualification', 'Email Campaign', 'Calling']",8 Days Ago,https://www.naukri.com/job-listings-hiring-lead-generation-executive-kg-invicta-services-coimbatore-tamil-nadu-3-to-7-years-180124005370
1576,Business Intelligence Advisor,_VOIS,3-7 Yrs,Bangalore/Bengaluru,"['Business Intelligence', 'Data analysis', 'report design', 'Strategic planning', 'Intelligence', 'Design', 'Reporting', 'Planning']",8 Days Ago,https://www.naukri.com/job-listings-business-intelligence-advisor-vodafone-india-services-pvt-ltd-bangalore-bengaluru-3-to-7-years-180124905309
1577,Lead Architect GCP / Associate Director Layer,Fractal Analytics,15-24 Yrs,"Hyderabad, Telangana","['architecture solutions', 'Java', 'python', 'Data Engineering', 'BigQuery', 'Data Management', 'Google Cloud', 'analytics']",8 Days Ago,https://www.naukri.com/job-listings-lead-architect-gcp-associate-director-layer-fractal-analytics-hyderabad-telangana-15-to-24-years-180124905049
1578,Business Analyst,Hiringlink Talent Solutions Llp,1-6 Yrs,"Ahmedabad, Gujarat","['Business Requirements', 'Figma', 'Power Bi', 'Data Analysis', 'Analysis', 'Business analysis', 'Data', 'Bi']",8 Days Ago,https://www.naukri.com/job-listings-business-analyst-hiringlink-talent-solutions-llp-ahmedabad-gujarat-1-to-6-years-180124005296
1579,Opening - Social Media Marketing/SEO/SEM - Males ONLY,Gangar Eyenation,4-5 Yrs,Mumbai (All Areas)(Sion Koliwada),"['Social Media', 'marketing campaigns', 'road shows', 'Brand Campaigns', 'SEO', 'Social Media Optimization', 'Marketing', 'Search Engine Optimization']",8 Days Ago,https://www.naukri.com/job-listings-opening-social-media-marketing-seo-sem-males-only-gangar-eyenation-mumbai-all-areas-4-to-5-years-180124005279
1580,Senior Presales and Analytics Consultant,Experian,8-13 Yrs,"Mumbai Suburban, Maharashtra, Navi Mumbai, Maharashtra, Mumbai (All Areas)","['Analytics consultant', 'Presales', 'Credit Risk Modelling', 'Logistic Regression', 'Gradient Boosting', 'Linear Regression', 'Credit Risk', 'Machine Learning']",8 Days Ago,https://www.naukri.com/job-listings-senior-presales-and-analytics-consultant-experian-mumbai-suburban-maharashtra-navi-mumbai-maharashtra-mumbai-all-areas-8-to-13-years-180124005254
1581,Data Scientist - Generative AI & LLM,APPLIED INFORMATION SCIENCES (AIS),25-31 Yrs,Hyderabad,"['Data Science', 'Ai Platform', 'Machine Learning', 'Data', 'Science', 'Artificial Intelligence', 'Machine']",8 Days Ago,https://www.naukri.com/job-listings-data-scientist-generative-ai-llm-applied-information-sciences-ais-hyderabad-25-to-31-years-180124005251
1582,"MSBI Developer (C#, SQL Server, SSIS, Power BI, Azure Functions Apps)",Quinnox,5-10 Yrs,"Hybrid - Mumbai, Maharashtra, Bangalore/ Bengaluru, Karnataka","['Power Bi', 'Azure Functions', 'C #', 'SQL Server', 'SSIS', 'ETL', 'Functional', 'Server']",8 Days Ago,https://www.naukri.com/job-listings-msbi-developer-c-sql-server-ssis-power-bi-azure-functions-apps-quinnox-mumbai-maharashtra-bangalore-bengaluru-karnataka-5-to-10-years-301023006447
1583,Sales Manager,Leisureinitiatives,3-7 Yrs,Ahmedabad(100 ft. Road),"['Business Development', 'Sales', 'Development', 'Sales management', 'Management']",8 Days Ago,https://www.naukri.com/job-listings-sales-manager-leisureinitiatives-ahmedabad-3-to-7-years-180124005156
1584,Assistant Vice President,ICICI Lombard,10-20 Yrs,"Navi Mumbai, Maharashtra","['Garments', 'Customer service portfolio', 'Portfolio', 'Customer service', 'Assistance']",8 Days Ago,https://www.naukri.com/job-listings-assistant-vice-president-icici-lombard-navi-mumbai-maharashtra-10-to-20-years-271223009053
1585,Data Scientist,Realisieren Technologies ,1-6 Yrs,"Pune, Maharashtra(Shewalewadi)","['Data Science', 'Data Analytics', 'Predictive Analytics', 'Analytics', 'Data', 'Predictive', 'Science']",8 Days Ago,https://www.naukri.com/job-listings-data-scientist-realisieren-technologies-pune-maharashtra-1-to-6-years-180124005122
1586,Marketing Data Analyst,SAGE,2-4 Yrs,"Hybrid - New Delhi, Delhi","['Database Marketing', 'Power Bi', 'Selligent', 'Analytical Skills', 'CRM Strategy', 'Tableau', 'Sql Support', 'Analytics']",8 Days Ago,https://www.naukri.com/job-listings-marketing-data-analyst-sage-new-delhi-delhi-2-to-4-years-180124005096
1587,Business Analyst - Sales  & Marketing,JSW Steel,7-10 Yrs,Mumbai (All Areas),"['Pricing Analysis', 'business analysis', 'pricing team', 'Sales', 'Pricing', 'Sales And Marketing', 'Team', 'Marketing']",8 Days Ago,https://www.naukri.com/job-listings-business-analyst-sales-marketing-jsw-steel-mumbai-all-areas-7-to-10-years-180124005084
1588,PPC Executive - Digital Admin,Spiderbox,1-2 Yrs,"Mumbai, Bovivali East,  Magathane","['PPC', 'digital administration', 'Pay-Per-Click advertising', 'paid media', 'campaigns', 'search engine marketing', 'ad operations', 'sem']",8 Days Ago,https://www.naukri.com/job-listings-ppc-executive-digital-admin-spiderbox-mumbai-bovivali-east-magathane-1-to-2-years-180124905033
1589,Senior / Lead Data Engineer,Tech Smcsquared Gcc,5-10 Yrs,"Hybrid - Bangalore Rural, Karnataka","['Snowflake', 'DBT', 'ETL Tool', 'Data', 'ETL', 'Tools', 'Senior']",8 Days Ago,https://www.naukri.com/job-listings-senior-lead-data-engineer-tech-smcsquared-gcc-bangalore-rural-karnataka-5-to-10-years-170124011382
1590,Production Supervisor( Silvassa) Immediate Joining,Deon Tapes Industries,1-5 Yrs,Dadra & Nagar Haveli/Silvassa,"['Organizational Effectiveness', 'it and numerical skills', 'confident', 'Problem Solving', 'B.Tech', 'Production', 'Numerical', 'Numerical Ability']",8 Days Ago,https://www.naukri.com/job-listings-production-supervisor-silvassa-immediate-joining-deon-tapes-industries-dadra-nagar-haveli-silvassa-1-to-5-years-110923004132
1591,BIDA Developer Immediate Joiner,Leading Client,5-10 Yrs,Bangalore/Bengaluru,"['Data Modeling', 'Performance Optimization', 'data analytics', 'Power BI', 'BI Tool Implementation', 'Documentation', 'Data Analysis', 'SQL Queries']",8 Days Ago,https://www.naukri.com/job-listings-bida-developer-immediate-joiner-notus-services-private-limited-bangalore-bengaluru-5-to-10-years-180124904926
1592,Lead Generation Specialist,Upprcas3 Elements,2-6 Yrs,"Mumbai Suburban, Maharashtra","['Database Building', 'Lead Generation', 'Demand Generation', 'Marketing Automation', 'Hubspot', 'Email Marketing', 'Online Lead Generation', 'Sales Lead Generation']",8 Days Ago,https://www.naukri.com/job-listings-lead-generation-specialist-metaphor-infotech-mumbai-suburban-maharashtra-2-to-6-years-180124004894
1593,Associate Director (Females),Qween,15-20 Yrs,Navi Mumbai,"['Operations Team Handling', 'Team Management', 'Data Management', 'Process Management', 'Data Operations', 'Mutual Fund Operations', 'Strategic Operations Management', 'Project Management']",8 Days Ago,https://www.naukri.com/job-listings-associate-director-females-qween-navi-mumbai-15-to-20-years-150124003335
1594,Project Manager,Globaldata,7-12 Yrs,Hyderabad,"['Market Research', 'Competitive Benchmarking', 'Business Research', 'Market Forecasting', 'Competitive Intelligence', 'Market Sizing', 'Industry Research', 'Market Analysis']",8 Days Ago,https://www.naukri.com/job-listings-project-manager-globaldata-hyderabad-7-to-12-years-180124004863
1595,Quality Manager,Dr.Kamakshi Memorial Hospital,,,"['nabh', 'Quality management', 'Management', 'Quality']",8 Days Ago,https://www.naukri.com/job-listings-quality-manager-dr-kamakshi-memorial-hospital-chennai-7-to-12-years-171023005761
1596,Data Analyst,Chandigarh University,1-5 Yrs,Ludhiana,"['hlookup', 'conditional formatting', 'macros', 'data analytics', 'data analysis', 'data validation', 'formulas', 'presentation skills']",8 Days Ago,https://www.naukri.com/job-listings-data-analyst-chandigarh-university-ludhiana-1-to-5-years-180124004816
1597,Senior Azure Data Engineer,Fugetron Corporation,5-10 Yrs,Remote,"['Azure Data Factory', 'Azure Databricks', 'SQL Azure', 'Python', 'Factory', 'Microsoft Azure', 'Data', 'SQL']",8 Days Ago,https://www.naukri.com/job-listings-senior-azure-data-engineer-fugetron-corporation-mumbai-all-areas-5-to-10-years-180124004781
1598,Chief - Accounts-leading Retail MNC-Mumbai,Client of VSquare Consultants,4-6 Yrs,Mumbai (All Areas),"['Accounting', 'US GAAP', 'Book Keeping', 'SOX Compliance', 'Internal Control', 'Management Accounting', 'Financial Accounting', 'Financial Control']",8 Days Ago,https://www.naukri.com/job-listings-chief-accounts-leading-retail-mnc-mumbai-v-square-consultants-mumbai-all-areas-4-to-6-years-190223000119
1599,Sr. Data Engineer,ATG Business Solutions,6-11 Yrs,"Hyderabad, Telangana","['SQL Database', 'AWS', 'Python', 'Kafka', 'SQL', 'Data Engineering', 'DBMS', 'Data']",8 Days Ago,https://www.naukri.com/job-listings-sr-data-engineer-atg-business-solutions-hyderabad-telangana-6-to-11-years-180124004720
1600,Proactive Engineer,Unisys,5-7 Yrs,Bangalore/Bengaluru,"['Business analysis', 'Data analysis', 'Excel', 'Power BI', 'Business analytics', 'JIRA', 'Data', 'Bi']",8 Days Ago,https://www.naukri.com/job-listings-proactive-engineer-unisys-india-pvt-ltd-bangalore-bengaluru-5-to-7-years-180124904653
1601,Supply Chain Backoffice (For 6 Months contract on Randstad payroll),Randstad,1-4 Yrs,Mumbai (All Areas),"['Supply Chain Finance', 'Financial Reporting', 'Data Analysis', 'Inter CA', 'Back office', 'Data', 'Reporting', 'Ca']",8 Days Ago,https://www.naukri.com/job-listings-supply-chain-backoffice-for-6-months-contract-on-randstad-payroll-randstad-mumbai-all-areas-1-to-4-years-180124004633
1602,Senior Data Analyst - Google Tag Manager (GTM),Publicis,5-9 Yrs,Hybrid - Bengaluru,"['Gtm Strategy', 'Google Analytics', 'Google Tag Manager', 'Data Analyst', 'UTM', 'Tagging', 'Management', 'Data analysis']",8 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-google-tag-manager-gtm-publicis-bengaluru-5-to-9-years-180124004597
1603,Sr MIS Executive,Fastest Growing Retail Brand ,3-8 Yrs,"Mumbai, Maharashtra, Mumbai Suburban, Maharashtra, Mumbai (All Areas)","['Tally', 'MIS', 'SR']",8 Days Ago,https://www.naukri.com/job-listings-sr-mis-executive-talisman-hr-solutions-mumbai-maharashtra-mumbai-suburban-maharashtra-mumbai-all-areas-3-to-8-years-180124004552
1604,Manager – Indirect Procurement (Procurement Analytic),R2R consults LLP,10-12 Yrs,Thane,"['Vendors Onboarding', 'Cost Modelling', 'Category Management', 'procurement management', 'Supplier Risk Analysis', 'Price Trend Analysis', 'Data Analysis', 'Market research']",8 Days Ago,https://www.naukri.com/job-listings-manager-indirect-procurement-procurement-analytic-r2r-consults-thane-10-to-12-years-180124904428
1605,Data Analyst (ETL Developer) 3 To 5 years,Sivacerulean Technologies,3-5 Yrs,"Hybrid - Chennai, Tamil Nadu, Sholinganallur, Tamil Nadu","['Data Analysis', 'ETL', 'Oracle PL/SQL ETL developer', 'Etl Development', 'ETL Tool', 'SQL development', 'Analysis', 'Oracle SQL']",8 Days Ago,https://www.naukri.com/job-listings-data-analyst-etl-developer-3-to-5-years-sivacerulean-technologies-chennai-tamil-nadu-sholinganallur-tamil-nadu-3-to-5-years-180124004268
1606,Digital Purchase  Portal Support Officer,Protiviti India,4-9 Yrs,Mumbai (All Areas),"['User Support', 'Fluent English', 'French Language', 'Customer Service Management', 'Interfaces', 'KPI', 'Deployment', 'Rollout']",8 Days Ago,https://www.naukri.com/job-listings-digital-purchase-portal-support-officer-protiviti-india-mumbai-all-areas-4-to-9-years-171223001201
1607,Senior Solution Architect,Protiviti India,6-11 Yrs,Bengaluru,"['TensorFlow/PyTorch/scikit-learn', 'DL', 'ML', 'Python', 'Architecture', 'Scikit-learn', 'Tensorflow', 'Pytorch']",8 Days Ago,https://www.naukri.com/job-listings-senior-solution-architect-protiviti-india-bengaluru-6-to-11-years-090124010307
1608,Senior Data Scientist / Lead Architect,Devu-solution,4-9 Yrs,Hybrid - United States (USA),"['Pyspark', 'Big Data', 'data engineering', 'Azure Cloud', 'AWS', 'Data Ingestion', 'Aws Data Lake', 'Pubsub']",8 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-lead-architect-devu-solution-united-states-usa-4-to-9-years-180124000134
1609,Mis Executive,Jobs Territory,2-6 Yrs,"Mathura, Uttar Pradesh, Bengaluru, Delhi / NCR","['Management Information System', 'Travel Arrangements', 'MIS', 'Calendaring', 'EA', 'Management', 'Travel Operations', 'Information System']",9 Days Ago,https://www.naukri.com/job-listings-mis-executive-jobs-territory-mathura-uttar-pradesh-bengaluru-delhi-ncr-2-to-6-years-180124000064
1610,"Risk Analytics Associate - JP Morgan, Bangalore",JPMorgan Chase Bank,7-10 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka","['Statistics', 'SQL', 'Python', 'Hypothesis Testing', 'Regression', 'Analytics', 'Software testing', 'Risk analytics']",9 Days Ago,https://www.naukri.com/job-listings-risk-analytics-associate-jp-morgan-bangalore-jpmorgan-chase-bank-bangalore-bengaluru-karnataka-7-to-10-years-090823011099
1611,Digital Marketing Executive,Inorbvict Healthcare India,1-3 Yrs,"Pune, Maharashtra","['Online Marketing', 'Digital Marketing', 'Social Media Marketing', 'Social media', 'Media marketing', 'Media', 'Digital', 'Marketing']",9 Days Ago,https://www.naukri.com/job-listings-digital-marketing-executive-inorbvict-healthcare-india-pune-maharashtra-1-to-3-years-061023006003
1612,Lead Data Analyst,Airtel,5-8 Yrs,"Gurgaon/ Gurugram, Haryana","['Tableau', 'Python', 'SQL', 'R', 'Data', 'Data analysis']",9 Days Ago,https://www.naukri.com/job-listings-lead-data-analyst-airtel-gurgaon-gurugram-haryana-5-to-8-years-041023008602
1613,Associate Solution Architect(Supply Chain),Aera Software Technology,2-4 Yrs,"Pune, Maharashtra","['Power Bi', 'Supply Chain', 'SQL', 'Inventory Optimization', 'Inventory Planning', 'Demand Planning', 'Supply Planning', 'Demand Forecasting']",9 Days Ago,https://www.naukri.com/job-listings-associate-solution-architect-supply-chain-aera-software-technology-pune-maharashtra-2-to-4-years-170124010788
1614,Power Bi Developer,European Company,3-8 Yrs,"Hybrid - Chennai, Tamil Nadu","['Power Bi', 'Business Intelligence', 'Microsoft Power Bi', 'Ms Power Bi', 'Bi', 'Bi Tools', 'Tableau', 'Power Query']",9 Days Ago,https://www.naukri.com/job-listings-power-bi-developer-european-company-chennai-tamil-nadu-3-to-8-years-180124000053
1615,Data Warehouse Analyst/Dev (Azure ETL Engineer),Randstad,5-9 Yrs,Hybrid - Bengaluru,"['ADF', 'T-SQL.', 'ETL/ELT', 'SSIS', 'SQL', 'Dev', 'Oracle ADF', 'Elt']",9 Days Ago,https://www.naukri.com/job-listings-data-warehouse-analyst-dev-azure-etl-engineer-randstad-bengaluru-5-to-9-years-170124011875
1616,Data Architect,Randstad,8-10 Yrs,Bengaluru,"['SQL Server', 'Azure Synapse', 'ETL/ELT', 'ADF', 'DEVOPS', 'data governancE', 'PROJECT MANAGEMENT', 'Database Architecture']",9 Days Ago,https://www.naukri.com/job-listings-data-architect-randstad-bengaluru-8-to-10-years-170124011871
1617,Adobe Campaign Professional,IBM,2-4 Yrs,Bangalore/Bengaluru,"['CSS', 'Adobe Campaign Classic', 'XML', 'HTML', 'SQL queries', 'data analysis', 'SFTP', 'Adobe Campaign']",9 Days Ago,https://www.naukri.com/job-listings-adobe-campaign-professional-ibm-india-pvt-limited-bangalore-bengaluru-2-to-4-years-170124911848
1618,Implementation Specialist,IBM,3-5 Yrs,Bangalore/Bengaluru,"['data analysis', 'HTML', 'SQL', 'technical design', 'Business objects', 'Excel', 'data manipulation', 'Data']",9 Days Ago,https://www.naukri.com/job-listings-implementation-specialist-ibm-india-pvt-limited-bangalore-bengaluru-3-to-5-years-170124911838
1619,Informatica Batch Developer,IBM,5-8 Yrs,Bangalore/Bengaluru,"['Unix', 'Linux', 'Informatica PowerCenter', 'ETL', 'Agile', 'PLSQL', 'Data Modeling', 'Data Architecture']",9 Days Ago,https://www.naukri.com/job-listings-informatica-batch-developer-ibm-india-pvt-limited-bangalore-bengaluru-5-to-8-years-170124911834
1620,Power BI Developer,Randstad,5-9 Yrs,"Hybrid - Bangalore Rural, Karnataka","['Power BI developer', 'T-SQL', 'Azure Synapse', 'GIT', 'Powershell scripts', 'PowerQuery', 'VISUAL STUDIO', 'DAX']",9 Days Ago,https://www.naukri.com/job-listings-power-bi-developer-randstad-bangalore-rural-karnataka-5-to-9-years-170124011828
1621,Sr Process Analyst - Risk and Compliance,IBM,3-5 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Due diligence', 'Anti money laundering', 'Process operations', 'risk compliance', 'Compliance', 'transaction monitoring systems', 'Process']",9 Days Ago,https://www.naukri.com/job-listings-sr-process-analyst-risk-and-compliance-ibm-india-pvt-limited-bangalore-bengaluru-3-to-5-years-170124911814
1622,Performance Manager,Leading Client,8-13 Yrs,Gurgaon/Gurugram,"['performance measurement', 'Payroll', 'Data analysis', 'Data management', 'Business strategy', 'Business intelligence', 'Stakeholder management', 'Analysis']",9 Days Ago,https://www.naukri.com/job-listings-performance-manager-kelly-outsourcing-and-consulting-group-india-priv-ate-limited-gurgaon-gurugram-8-to-13-years-170124911693
1623,Associate Backend Manager,GM WARE,4-6 Yrs,Sahibzada Ajit Singh Nagar,"['Data analysis', 'Data management', 'DBMS', 'operations', 'compliance', 'Backend Operations', 'Data', 'Backend Process']",9 Days Ago,https://www.naukri.com/job-listings-associate-backend-manager-gm-ware-sahibzada-ajit-singh-nagar-4-to-6-years-170124911686
1624,Process Analyst - Risk and Compliance,IBM,1-3 Yrs,Bangalore/Bengaluru,"['Anti Money Laundering', 'Enhanced due diligence', 'Customer identification program', 'risk compliance', 'aml', 'screening', 'data analysis', 'due diligence']",9 Days Ago,https://www.naukri.com/job-listings-process-analyst-risk-and-compliance-ibm-india-pvt-limited-bangalore-bengaluru-1-to-3-years-170124911623
1625,Data Engineer,IBM,2-4 Yrs,Pune,"['Data migration', 'Power BI', 'Cloud', 'Big Data', 'SQL', 'python', 'unix shell scripting', 'data processing']",9 Days Ago,https://www.naukri.com/job-listings-data-engineer-ibm-india-pvt-limited-pune-2-to-4-years-170124911624
1626,Analytics Professional,IBM,2-4 Yrs,Bangalore/Bengaluru,"['R', 'SQL', 'Python', 'data analysis', 'data science', 'Power BI', 'Cognos', 'Tableau']",9 Days Ago,https://www.naukri.com/job-listings-analytics-professional-ibm-india-pvt-limited-bangalore-bengaluru-2-to-4-years-170124911613
1627,Data Engineer,IBM,2-6 Yrs,Gurgaon/Gurugram,"['Data structures', 'Informatica', 'Business intelligence', 'SQL', 'Python', 'Data migration', 'Agile', 'Big Data']",9 Days Ago,https://www.naukri.com/job-listings-data-engineer-ibm-india-pvt-limited-gurgaon-gurugram-2-to-6-years-170124911549
1628,Technical Business Analyst,GAVS Technologies Pvt. Ltd. (GAVS),6-8 Yrs,Chennai,"['risk assessment', 'data analysis', 'technical', 'business requirements', 'software', 'documentation', 'interpersonal skills', 'problem solving']",9 Days Ago,https://www.naukri.com/job-listings-technical-business-analyst-gavs-technologies-pvt-ltd-gavs-chennai-6-to-8-years-170124011532
1629,Data Engineer,IBM,3-6 Yrs,Pune,"['Data migration', 'Informatica', 'MS Azure Cloud', 'SQL', 'Python', 'Power BI', 'Agile', 'Unit testing']",9 Days Ago,https://www.naukri.com/job-listings-data-engineer-ibm-india-pvt-limited-pune-3-to-6-years-170124911531
1630,Analytics Professional,IBM,2-6 Yrs,Bangalore/Bengaluru,"['Tableau Power BI', 'R', 'SQL', 'Python', 'Data analysis', 'data science', 'data visualization', 'Science']",9 Days Ago,https://www.naukri.com/job-listings-analytics-professional-ibm-india-pvt-limited-bangalore-bengaluru-2-to-6-years-170124911521
1631,Hiring For Data Engineer/Data Analyst (Power BI/Azure Data Factory),GS Lab,3-8 Yrs,"Chennai, Tamil Nadu(Sholinganallur)","['Azure Data Factory', 'Power Bi', 'SQL Azure', 'Factory', 'Bi', 'SQL', 'Microsoft Azure', 'Data analysis']",9 Days Ago,https://www.naukri.com/job-listings-hiring-for-data-engineer-data-analyst-power-bi-azure-data-factory-gs-lab-chennai-tamil-nadu-3-to-8-years-170124011489
1632,Manager - Global Procurement - Spend Analysis,EXL,5-10 Yrs,"Noida, Uttar Pradesh","['Spend Analysis', 'Global Procurement', 'S2P', 'Strategic Sourcing', 'Oracle Procurement Cloud', 'Procure To Pay', 'P2P', 'Sourcing']",9 Days Ago,https://www.naukri.com/job-listings-manager-global-procurement-spend-analysis-exl-noida-uttar-pradesh-5-to-10-years-190923006733
